title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
Townhouse for sale,TOWNHOUSE,FOR_SALE,1967,"854 Rue De La Paix UNIT B-5, Cincinnati, OH 45220",Cincinnati,OH,45220,3,2.0,2108,279900.0,129400.0,494.22031386583774,1394.770313865838,1495,43,"$10,000 (Oct 28)",https://www.zillow.com/homedetails/854-Rue-De-La-Paix-UNIT-B-5-Cincinnati-OH-45220/34259988_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1885,"505 Flatt Ter, Cincinnati, OH 45232",Cincinnati,OH,45232,2,2.0,1165,95000.0,93600.0,357.48857324453184,894.8719065778652,995,43,"$5,000 (Nov 6)",https://www.zillow.com/homedetails/505-Flatt-Ter-Cincinnati-OH-45232/34261958_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1952,"6972 Beechmont Ave, Anderson Twp, OH 45230",Anderson Twp,OH,45230,4,1.0,1498,125000.0,91100.0,347.9402673352227,944.823600668556,1045,44,,https://www.zillow.com/homedetails/6972-Beechmont-Ave-Anderson-Twp-OH-45230/2082364890_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1977,"893 Shayler Rd, Cincinnati, OH 45245",Cincinnati,OH,45245,4,3.0,2017,200000.0,196200.0,749.3510477625763,1594.7343810959098,1695,44,,https://www.zillow.com/homedetails/893-Shayler-Rd-Cincinnati-OH-45245/51288198_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,-1,"5881 Rhode Island Ave, Cincinnati, OH 45237",Cincinnati,OH,45237,3,3.0,,299900.0,79500.0,303.6361279160286,1249.969461249362,1350,44,,https://www.zillow.com/homedetails/5881-Rhode-Island-Ave-Cincinnati-OH-45237/2082366337_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1929,"3008 Lehman Rd, Cincinnati, OH 45204",Cincinnati,OH,45204,3,2.0,1398,47000.0,47000.0,179.50815109501062,661.591484428344,1125,44,"$3,000 (Nov 6)",https://www.zillow.com/homedetails/3008-Lehman-Rd-Cincinnati-OH-45204/34239627_zpid/
Apartment for sale,MULTI_FAMILY,FOR_SALE,1899,"2654 Fenton Ave, Cincinnati, OH 45211",Cincinnati,OH,45211,0,,3380,69900.0,69900.0,266.97063322428176,713.9706332242818,950,44,,https://www.zillow.com/homedetails/2654-Fenton-Ave-Cincinnati-OH-45211/34253558_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1965,"2902 Alpine Ter, Cincinnati, OH 45208",Cincinnati,OH,45208,4,4.0,3410,795000.0,569600.0,2175.4860183769797,4579.68601837698,4680,44,"$40,000 (Nov 6)",https://www.zillow.com/homedetails/2902-Alpine-Ter-Cincinnati-OH-45208/34214337_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1910,"3339 Spokane Ave, Cincinnati, OH 45207",Cincinnati,OH,45207,4,2.0,2214,139000.0,117900.0,450.29810668301604,1099.9647733496827,1200,44,,https://www.zillow.com/homedetails/3339-Spokane-Ave-Cincinnati-OH-45207/34217450_zpid/
Condo for sale,CONDO,FOR_SALE,1990,"1184 Lamplighter Way, Cincinnati, OH 45245",Cincinnati,OH,45245,2,3.0,1296,120000.0,112500.0,429.6737659189084,1294.7237659189086,1395,44,"$8,000 (Oct 22)",https://www.zillow.com/homedetails/1184-Lamplighter-Way-Cincinnati-OH-45245/51293665_zpid/
