title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
House for sale,SINGLE_FAMILY,FOR_SALE,1948,"4691 Mad River Rd, Dayton, OH 45429",Dayton,OH,45429,4,3.0,2129,244000.0,189100.0,722.2338589801385,1651.7805256468052,1752,108,"$5,333 (Sep 14)",https://www.zillow.com/homedetails/4691-Mad-River-Rd-Dayton-OH-45429/35042260_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1963,"2321 Glenheath Dr, Dayton, OH 45440",Dayton,OH,45440,3,2.0,2080,189900.0,138100.0,527.4484184302333,1299.9484184302335,1400,96,"$10,000 (Oct 25)",https://www.zillow.com/homedetails/2321-Glenheath-Dr-Dayton-OH-45440/35038419_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1915,"1564 Bowman Ave, Dayton, OH 45409",Dayton,OH,45409,3,2.0,1379,124900.0,124900.0,477.03336322908143,1117.4500298957482,1275,42,,https://www.zillow.com/homedetails/1564-Bowman-Ave-Dayton-OH-45409/35025566_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2005,"416 W David Rd, Dayton, OH 45429",Dayton,OH,45429,5,4.0,2404,299900.0,251500.0,960.5595744764931,2060.9829078098264,2161,71,,https://www.zillow.com/homedetails/416-W-David-Rd-Dayton-OH-45429/71979015_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1963,"2328 Glenheath Dr, Dayton, OH 45440",Dayton,OH,45440,4,2.0,1733,224900.0,144000.0,549.9824203762028,1399.815753709536,1500,3,,https://www.zillow.com/homedetails/2328-Glenheath-Dr-Dayton-OH-45440/35038411_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1920,"1598 Constance Ave, Dayton, OH 45409",Dayton,OH,45409,3,2.0,1464,159900.0,128900.0,492.31065268397595,1194.860652683976,1295,24,"$5,000 (Nov 13)",https://www.zillow.com/homedetails/1598-Constance-Ave-Dayton-OH-45409/35025629_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1999,"1228 Devon Ave, Dayton, OH 45429",Dayton,OH,45429,3,2.0,1344,214900.0,151100.0,577.0996091586405,1412.7362758253075,1513,18,"$3,000 (Nov 11)",https://www.zillow.com/homedetails/1228-Devon-Ave-Dayton-OH-45429/35042904_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1945,"1944 Malcom Dr, Dayton, OH 45420",Dayton,OH,45420,3,2.0,1008,105000.0,90300.0,344.88480944424384,899.8848094442438,1000,28,"$12,803 (Nov 6)",https://www.zillow.com/homedetails/1944-Malcom-Dr-Dayton-OH-45420/35030468_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1948,"1332 Southlyn Dr, Dayton, OH 45409",Dayton,OH,45409,3,1.0,1008,110000.0,88100.0,336.4823002440518,899.8156335773851,1000,46,,https://www.zillow.com/homedetails/1332-Southlyn-Dr-Dayton-OH-45409/35026044_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1966,"1301 Ridgeview Ave, Dayton, OH 45409",Dayton,OH,45409,4,3.0,1857,235000.0,178000.0,679.8393807428062,1580.8960474094729,1681,13,,https://www.zillow.com/homedetails/1301-Ridgeview-Ave-Dayton-OH-45409/35029595_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1990,"550 W David Pkwy, Dayton, OH 45429",Dayton,OH,45429,5,5.0,6237,489900.0,460800.0,1759.943745203849,3438.853745203849,3539,127,"$60,100 (Sep 10)",https://www.zillow.com/homedetails/550-W-David-Pkwy-Dayton-OH-45429/35042694_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1957,"1035 Wenbrook Dr, Dayton, OH 45429",Dayton,OH,45429,3,1.0,1188,149000.0,124100.0,473.9779053381025,1149.8112386714358,1250,4,,https://www.zillow.com/homedetails/1035-Wenbrook-Dr-Dayton-OH-45429/35034384_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1964,"2386 E Rahn Rd, Dayton, OH 45440",Dayton,OH,45440,3,2.0,1834,188000.0,160100.0,611.4735104321531,1399.8068437654865,1500,90,$900 (Nov 19),https://www.zillow.com/homedetails/2386-E-Rahn-Rd-Dayton-OH-45440/35039749_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1970,"4888 Marybrook Dr, Dayton, OH 45429",Dayton,OH,45429,3,2.0,2005,214900.0,149600.0,571.370625613055,1405.6772922797218,1506,52,,https://www.zillow.com/homedetails/4888-Marybrook-Dr-Dayton-OH-45429/35041747_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1940,"3121 Atherton Rd, Dayton, OH 45409",Dayton,OH,45409,4,3.0,2597,239900.0,177300.0,677.1658550881997,1587.7191884215333,1688,12,,https://www.zillow.com/homedetails/3121-Atherton-Rd-Dayton-OH-45409/35030104_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1971,"4179 Keene Cir, Dayton, OH 45440",Dayton,OH,45440,3,3.0,2447,199900.0,160200.0,611.8554426685256,1424.7721093351922,1525,89,"$10,100 (Nov 12)",https://www.zillow.com/homedetails/4179-Keene-Cir-Dayton-OH-45440/35041998_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1961,"1460 Raymont Dr, Dayton, OH 45429",Dayton,OH,45429,3,2.0,1405,119900.0,108200.0,413.25067975489685,1014.9340130882301,1115,42,,https://www.zillow.com/homedetails/1460-Raymont-Dr-Dayton-OH-45429/35038105_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1953,"2429 Adirondack Trl, Dayton, OH 45409",Dayton,OH,45409,4,2.0,1399,199900.0,123100.0,470.15858297437893,1249.8252496410457,1350,27,"$15,100 (Nov 4)",https://www.zillow.com/homedetails/2429-Adirondack-Trl-Dayton-OH-45409/35025701_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1955,"3543 Tait Rd, Dayton, OH 45439",Dayton,OH,45439,2,1.0,936,87500.0,76700.0,292.94202529760247,799.7753586309358,900,26,,https://www.zillow.com/homedetails/3543-Tait-Rd-Dayton-OH-45439/35033801_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1967,"328 Lincoln Park Blvd, Dayton, OH 45429",Dayton,OH,45429,4,3.0,2000,270000.0,226100.0,863.5487864379129,1879.7487864379127,1980,26,"$4,500 (Nov 12)",https://www.zillow.com/homedetails/328-Lincoln-Park-Blvd-Dayton-OH-45429/35025054_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1967,"1610 Willamet Rd, Dayton, OH 45429",Dayton,OH,45429,3,1.0,924,114950.0,106050.0,405.039136672891,994.6724700062243,1095,27,,https://www.zillow.com/homedetails/1610-Willamet-Rd-Dayton-OH-45429/35035799_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1953,"2429 Adirondack Trl, Dayton, OH 45409",Dayton,OH,45409,4,2.0,1399,199900.0,123100.0,470.15858297437893,1249.8252496410457,1350,27,"$15,100 (Nov 4)",https://www.zillow.com/homedetails/2429-Adirondack-Trl-Dayton-OH-45409/35025701_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1953,"3685 Woodman Dr, Dayton, OH 45429",Dayton,OH,45429,3,2.0,1312,210000.0,64600.0,246.72822469654653,994.7782246965464,1095,27,"$9,900 (Nov 8)",https://www.zillow.com/homedetails/3685-Woodman-Dr-Dayton-OH-45429/35030974_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1943,"1142 Belvoir Ave, Dayton, OH 45409",Dayton,OH,45409,4,3.0,2172,250000.0,217900.0,832.2303430553791,1799.8970097220458,1900,28,"$15,000 (Nov 15)",https://www.zillow.com/homedetails/1142-Belvoir-Ave-Dayton-OH-45409/35030110_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1940,"1139 Devon Ave, Dayton, OH 45429",Dayton,OH,45429,2,1.0,735,124900.0,55100.0,210.44466224117204,774.8613289078387,875,28,"$4,000 (Nov 12)",https://www.zillow.com/homedetails/1139-Devon-Ave-Dayton-OH-45429/35026812_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1945,"1944 Malcom Dr, Dayton, OH 45420",Dayton,OH,45420,3,2.0,1008,105000.0,90300.0,344.88480944424384,899.8848094442438,1000,28,"$12,803 (Nov 6)",https://www.zillow.com/homedetails/1944-Malcom-Dr-Dayton-OH-45420/35030468_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1955,"3750 Cordell Dr, Dayton, OH 45439",Dayton,OH,45439,3,1.0,1352,129900.0,111200.0,424.7086468460677,1049.7086468460677,1150,29,"$5,000 (Oct 30)",https://www.zillow.com/homedetails/3750-Cordell-Dr-Dayton-OH-45439/35033644_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1956,"3116 Bulah Dr, Dayton, OH 45429",Dayton,OH,45429,3,1.0,1142,139900.0,128100.0,489.25519479299703,1149.9218614596637,1250,29,"$7,600 (Nov 18)",https://www.zillow.com/homedetails/3116-Bulah-Dr-Dayton-OH-45429/35035945_zpid/
For sale by owner,SINGLE_FAMILY,FOR_SALE,1955,"2389 Fields Ave, Dayton, OH 45420",Dayton,OH,45420,2,1.0,768,83000.0,46900.0,179.12621885863828,649.9595521919716,750,31,,https://www.zillow.com/homedetails/2389-Fields-Ave-Dayton-OH-45420/35032299_zpid/
