title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url,img
House for sale,SINGLE_FAMILY,FOR_SALE,2003,"4541 Hickory Rock Dr, Powell, OH 43065",Powell,OH,43065,4,6.0,5332,550000.0,327500.0,1250.828074119489,2933.9547407861555,3034,148,"$9,000 (Nov 1)",https://www.zillow.com/homedetails/4541-Hickory-Rock-Dr-Powell-OH-43065/61484085_zpid/,https://photos.zillowstatic.com/p_e/ISnysrutsicnu00000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2004,"3706 Pine Bank Dr, Powell, OH 43065",Powell,OH,43065,4,4.0,3278,449900.0,362900.0,1386.0320857953054,2894.915419128639,2995,79,"$5,000 (Nov 6)",https://www.zillow.com/homedetails/3706-Pine-Bank-Dr-Powell-OH-43065/67329128_zpid/,https://photos.zillowstatic.com/p_e/ISfkcnapxwsytg0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2004,"8869 Westward Way, Powell, OH 43065",Powell,OH,43065,4,3.0,2512,419900.0,271000.0,1035.0363605691039,2399.869693902437,2500,20,,https://www.zillow.com/homedetails/8869-Westward-Way-Powell-OH-43065/67330016_zpid/,https://photos.zillowstatic.com/p_e/ISjb46am83m87d1000000000.jpg
Condo for sale,CONDO,FOR_SALE,1989,"10270 Olentangy River Rd, Powell, OH 43065",Powell,OH,43065,4,5.0,5600,1350000.0,828100.0,3162.7808493995385,7199.780849399538,7300,44,,https://www.zillow.com/homedetails/10270-Olentangy-River-Rd-Powell-OH-43065/33730304_zpid/,https://photos.zillowstatic.com/p_e/IS7i995471nq810000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1994,"10549 Wellington Blvd, Powell, OH 43065",Powell,OH,43065,5,5.0,7400,874900.0,559400.0,2136.528930266999,4695.935596933667,4796,32,,https://www.zillow.com/homedetails/10549-Wellington-Blvd-Powell-OH-43065/33734058_zpid/,https://photos.zillowstatic.com/p_e/ISf4w30ukfz8nn0000000000.jpg
Condo for sale,CONDO,FOR_SALE,2013,"3891 Foresta Grand Dr, Powell, OH 43065",Powell,OH,43065,2,2.0,1379,339900.0,70600.0,269.64415887888833,1549.6441588788884,1650,8,,https://www.zillow.com/homedetails/3891-Foresta-Grand-Dr-Powell-OH-43065/119928443_zpid/,https://photos.zillowstatic.com/p_e/ISvomqkx1572671000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1993,"10891 Buckingham Pl, Powell, OH 43065",Powell,OH,43065,4,6.0,5398,619000.0,387500.0,1479.9874159429069,3358.8640826095734,3459,196,"$5,900 (Dec 5)",https://www.zillow.com/homedetails/10891-Buckingham-Pl-Powell-OH-43065/33733734_zpid/,https://photos.zillowstatic.com/p_e/IS72thc5dz0jkc1000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2004,"8796 Bakircay Ln, Powell, OH 43065",Powell,OH,43065,3,3.0,2339,369900.0,291700.0,1114.096333498183,2394.646333498183,2495,69,"$5,100 (Nov 15)",https://www.zillow.com/homedetails/8796-Bakircay-Ln-Powell-OH-43065/67330009_zpid/,https://photos.zillowstatic.com/p_e/IS3rltuz2ibp2q0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2000,"4324 Clark Shaw Rd, Powell, OH 43065",Powell,OH,43065,4,5.0,4700,650000.0,405600.0,1549.1171507263045,3507.970484059638,3608,103,"$19,000 (Oct 31)",https://www.zillow.com/homedetails/4324-Clark-Shaw-Rd-Powell-OH-43065/33744267_zpid/,https://photos.zillowstatic.com/p_e/ISvsl8lym6d0ja0000000000.jpg
Condo for sale,CONDO,FOR_SALE,2002,"10036 Lavenham Cir W, Powell, OH 43065",Powell,OH,43065,2,3.0,1851,364900.0,187000.0,714.2132820163189,2149.8799486829857,2250,44,,https://www.zillow.com/homedetails/10036-Lavenham-Cir-W-Powell-OH-43065/61484498_zpid/,https://photos.zillowstatic.com/p_e/ISrxev00m9il3x1000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2005,"859 Creek Bend Ln, Powell, OH 43065",Powell,OH,43065,4,7.0,7818,1498000.0,978400.0,3736.8250006672,7953.751667333866,8054,255,,https://www.zillow.com/homedetails/859-Creek-Bend-Ln-Powell-OH-43065/71405791_zpid/,https://photos.zillowstatic.com/p_e/ISvoy33e95c65t0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1988,"356 Partridge Bnd, Powell, OH 43065",Powell,OH,43065,4,5.0,5599,574900.0,351000.0,1340.5821496669944,3095.988816333662,3196,65,,https://www.zillow.com/homedetails/356-Partridge-Bnd-Powell-OH-43065/33735054_zpid/,https://photos.zillowstatic.com/p_e/ISbtw9rd26n26a1000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1979,"905 Retreat Ln, Powell, OH 43065",Powell,OH,43065,4,5.0,4751,687900.0,446500.0,1705.327435402601,3778.837435402601,3879,310,"$11,100 (Dec 17)",https://www.zillow.com/homedetails/905-Retreat-Ln-Powell-OH-43065/33735011_zpid/,https://photos.zillowstatic.com/p_e/ISmigr9y4x1cvh0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2008,"5060 Canterbury Dr, Powell, OH 43065",Powell,OH,43065,5,7.0,7757,1295000.0,852800.0,3257.118111783512,6943.811445116845,7044,141,,https://www.zillow.com/homedetails/5060-Canterbury-Dr-Powell-OH-43065/89082531_zpid/,https://photos.zillowstatic.com/p_e/IS3nikmv36pk791000000000.jpg
Condo for sale,CONDO,FOR_SALE,2015,"3137 Rossmore Cir, Powell, OH 43065",Powell,OH,43065,2,2.0,1419,241900.0,101700.0,388.42508439069326,1494.6417510573601,1595,80,"$3,000 (Dec 2)",https://www.zillow.com/homedetails/3137-Rossmore-Cir-Powell-OH-43065/126014489_zpid/,https://photos.zillowstatic.com/p_e/ISrtbi96rp1eef0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2001,"10510 Wellington Blvd, Powell, OH 43065",Powell,OH,43065,5,5.0,6577,924900.0,595900.0,2275.9341965429116,4970.924196542912,5071,220,,https://www.zillow.com/homedetails/10510-Wellington-Blvd-Powell-OH-43065/33734157_zpid/,https://photos.zillowstatic.com/p_e/IS3jv7ywgs68ef1000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1989,"937 Vauxhill Ln, Powell, OH 43065",Powell,OH,43065,5,6.0,7822,619900.0,491200.0,1876.0511450610472,3849.717811727714,3950,45,,https://www.zillow.com/homedetails/937-Vauxhill-Ln-Powell-OH-43065/33735042_zpid/,https://photos.zillowstatic.com/p_e/IS7y5tao5zdedi0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2005,"8562 Trail Lake Dr, Powell, OH 43065",Powell,OH,43065,4,4.0,4388,489900.0,345400.0,1319.193944430142,2894.743944430142,2995,108,"$10,000 (Oct 10)",https://www.zillow.com/homedetails/8562-Trail-Lake-Dr-Powell-OH-43065/71405968_zpid/,https://photos.zillowstatic.com/p_e/ISn631ng8ev0dy0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1988,"476 Partridge Bnd, Powell, OH 43065",Powell,OH,43065,4,5.0,5546,574900.0,378300.0,1444.8496501966495,3224.766316863316,3325,242,,https://www.zillow.com/homedetails/476-Partridge-Bnd-Powell-OH-43065/33734927_zpid/,https://photos.zillowstatic.com/p_e/ISbh3n898d9kq01000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1980,"2080 Carriage Rd, Powell, OH 43065",Powell,OH,43065,5,4.0,4800,524900.0,300900.0,1149.2340992444404,2756.8974325777735,2857,204,,https://www.zillow.com/homedetails/2080-Carriage-Rd-Powell-OH-43065/33732759_zpid/,https://photos.zillowstatic.com/p_e/ISf0xtxc4g15dc0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1975,"5454 Sunset Ct, Powell, OH 43065",Powell,OH,43065,3,3.0,2204,424900.0,268800.0,1026.6338513689118,2399.8005180355785,2500,65,"$15,000 (Nov 14)",https://www.zillow.com/homedetails/5454-Sunset-Ct-Powell-OH-43065/33733692_zpid/,https://photos.zillowstatic.com/p_e/IS33b137rks8wk0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2003,"4311 Scioto Pkwy, Powell, OH 43065",Powell,OH,43065,4,3.0,3273,405000.0,319900.0,1221.8012241551894,2599.8012241551896,2700,31,"$5,000 (Dec 16)",https://www.zillow.com/homedetails/4311-Scioto-Pkwy-Powell-OH-43065/58594550_zpid/,https://photos.zillowstatic.com/p_e/IS7itoai4t9lz30000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1990,"6755 Merchant Rd, Delaware, OH 43015",Delaware,OH,43015,4,4.0,3747,1795000.0,1221900.0,4666.829996233904,9712.96666290057,9813,143,,https://www.zillow.com/homedetails/6755-Merchant-Rd-Delaware-OH-43015/33753922_zpid/,https://photos.zillowstatic.com/p_e/ISz7c6ymc32kf31000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2004,"2407 Woodland Glen Dr, Powell, OH 43065",Powell,OH,43065,4,6.0,4985,899000.0,580700.0,2217.8804966143125,4845.953829947646,4946,611,,https://www.zillow.com/homedetails/2407-Woodland-Glen-Dr-Powell-OH-43065/67329861_zpid/,https://photos.zillowstatic.com/p_e/ISzn0oovvkuyr61000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2001,"710 Hawksbury Way, Powell, OH 43065",Powell,OH,43065,5,5.0,3287,634400.0,396000.0,1512.4516560345576,3430.674989367891,3531,143,"$5,000 (Nov 22)",https://www.zillow.com/homedetails/710-Hawksbury-Way-Powell-OH-43065/55628867_zpid/,https://photos.zillowstatic.com/p_e/ISny0y83d22wae0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1967,"1950 Carriage Rd, Powell, OH 43065",Powell,OH,43065,4,3.0,3410,494900.0,278300.0,1062.9174138242863,2588.6607471576194,2689,212,,https://www.zillow.com/homedetails/1950-Carriage-Rd-Powell-OH-43065/33734777_zpid/,https://photos.zillowstatic.com/p_e/ISbhb5g14tey9g0000000000.jpg
Condo for sale,CONDO,FOR_SALE,2005,"8367 Dolman Dr, Powell, OH 43065",Powell,OH,43065,3,4.0,3500,439900.0,207300.0,791.7455259999086,2399.9121926665753,2500,127,,https://www.zillow.com/homedetails/8367-Dolman-Dr-Powell-OH-43065/71413810_zpid/,https://photos.zillowstatic.com/p_e/ISvclds11ymveb1000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2005,"8479 Grennan Woods, Powell, OH 43065",Powell,OH,43065,5,4.0,4800,656000.0,407000.0,1554.4642020355177,3526.9275353688504,3627,267,"$12,000 (Oct 31)",https://www.zillow.com/homedetails/8479-Grennan-Woods-Powell-OH-43065/71405779_zpid/,https://photos.zillowstatic.com/p_e/ISfs6gzt6oyh660000000000.jpg
