title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
House for sale,SINGLE_FAMILY,FOR_SALE,2002,"8607 Clover Glade Dr, Lewis Center, OH 43035",Lewis Center,OH,43035,3,3,1598,264900,190200,726.4351136,1699.935114,1800,20,,https://www.zillow.com/homedetails/8607-Clover-Glade-Dr-Lewis-Center-OH-43035/61483684_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1954,"176 E Stanton Ave, Columbus, OH 43214",Columbus,OH,43214,3,2,1231,265000,129500,494.6022461,1413.928913,1514,2,,https://www.zillow.com/homedetails/176-E-Stanton-Ave-Columbus-OH-43214/33899918_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2000,"7452 Liberton Pl, Columbus, OH 43085",Columbus,OH,43085,3,3,1989,268000,209000,798.238374,1794.955041,1895,15,"$7,000 (Nov 7)",https://www.zillow.com/homedetails/7452-Liberton-Pl-Columbus-OH-43085/34128215_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1996,"2442 Charles Mill Dr, Hilliard, OH 43026",Hilliard,OH,43026,4,3,1846,269777,0,1030.365329,0,,21,"$10,000 (Nov 4)",https://www.zillow.com/homedetails/2442-Charles-Mill-Dr-Hilliard-OH-43026/2082321075_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1997,"2176 Hutchman Dr, Hilliard, OH 43026",Hilliard,OH,43026,3,3,1539,269900,156200,596.5781532,1549.911487,1650,0,,https://www.zillow.com/homedetails/2176-Hutchman-Dr-Hilliard-OH-43026/34089242_zpid/
Condo for sale,CONDO,FOR_SALE,1973,"261 Lear St, Columbus, OH 43206",Columbus,OH,43206,2,2,1260,269900,5800,22.15206971,1099.985403,1200,10,,https://www.zillow.com/homedetails/261-Lear-St-Columbus-OH-43206/2119457309_zpid/
Condo for sale,CONDO,FOR_SALE,1900,"1090 Oregon Ave, Columbus, OH 43201",Columbus,OH,43201,2,2,1047,269900,69400,265.060972,1399.894305,1500,14,,https://www.zillow.com/homedetails/1090-Oregon-Ave-Columbus-OH-43201/80903371_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2009,"6169 Braet Rd, Westerville, OH 43081",Westerville,OH,43081,3,3,1837,269900,198600,758.5174214,1749.850755,1850,24,"$7,100 (Nov 2)",https://www.zillow.com/homedetails/6169-Braet-Rd-Westerville-OH-43081/102350720_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1957,"2773 Talisman Ct, Columbus, OH 43209",Columbus,OH,43209,3,3,2272,269900,188000,718.0326044,1699.865938,1800,24,,https://www.zillow.com/homedetails/2773-Talisman-Ct-Columbus-OH-43209/33896636_zpid/
Apartment for sale,MULTI_FAMILY,FOR_SALE,1900,"380 N Garfield Ave # 380-382, Columbus, OH 43203",Columbus,OH,43203,0,,2549,269900,55300,211.2085267,1024.79186,1125,29,"$10,000 (Oct 18)",https://www.zillow.com/homedetails/380-N-Garfield-Ave-380-382-Columbus-OH-43203/2082419256_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1915,"2390 Indianola Ave, Columbus, OH 43202",Columbus,OH,43202,3,2,1606,270000,140200,535.4689954,1474.718995,1575,6,,https://www.zillow.com/homedetails/2390-Indianola-Ave-Columbus-OH-43202/33855334_zpid/
Condo for sale,CONDO,FOR_SALE,1974,"1443 Cliff Ct APT C, Columbus, OH 43204",Columbus,OH,43204,3,2,1524,270000,0,1031.217038,0,,14,,https://www.zillow.com/homedetails/1443-Cliff-Ct-APT-C-Columbus-OH-43204/2082254302_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1994,"952 Thornapple Grv, Galloway, OH 43119",Galloway,OH,43119,3,3,2335,272900,199400,761.5728793,1759.806213,1860,30,"$7,000 (Oct 27)",https://www.zillow.com/homedetails/952-Thornapple-Grv-Galloway-OH-43119/34086490_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2016,"6258 Kinver Edge Way, Columbus, OH 43213",Columbus,OH,43213,3,3,1932,274900,122200,466.7211928,1399.88786,1500,0,,https://www.zillow.com/homedetails/6258-Kinver-Edge-Way-Columbus-OH-43213/102344768_zpid/
Condo for sale,CONDO,FOR_SALE,2006,"5059 Calais Dr # 5059, Columbus, OH 43221",Columbus,OH,43221,3,3,2080,275000,0,1050.31365,0,,2,,https://www.zillow.com/homedetails/5059-Calais-Dr-5059-Columbus-OH-43221/2082107091_zpid/
Apartment for sale,MULTI_FAMILY,FOR_SALE,1965,"2030 Jane Ave, Columbus, OH 43219",Columbus,OH,43219,0,,3362,275000,5400,20.62434076,799.9576741,900,4,,https://www.zillow.com/homedetails/2030-Jane-Ave-Columbus-OH-43219/296626567_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1900,"3505 Westerville Rd, Columbus, OH 43224",Columbus,OH,43224,3,2,1680,275000,175200,669.1452781,1649.978611,1750,10,"$5,000 (Nov 5)",https://www.zillow.com/homedetails/3505-Westerville-Rd-Columbus-OH-43224/34046102_zpid/
